"id_i","parent_id_i","path_i","type_i","threshold_s","target_ri","target_rh","order_s","name_s","from_h","to_h"
"6fb95f53-8e56-477f-be5a-7517355b5e2d","e82656a0-0208-40e0-9acc-3ecbbd769e3e","/terms/detectionRules/ruleInstances","ruleInstance","30.0","7c09c041-df3e-46b8-b596-9326e1ba1cff",,"0",,"73",
"9e73e2f4-6eff-4adf-b4b1-5e3cac08c276","d140ee77-ce97-4885-8fb9-bd6a3fba6a5e","/terms/detectionRules/ruleInstances","ruleInstance","30.0","92458674-3ab0-44c5-b2f9-a0130b3094f9",,"0",,"73",
"5c0c4a48-80ad-44c3-93dd-91caadd205e4","07e3a16b-7bd4-4123-a4dc-a1b5ecdea475","/terms/detectionRules/ruleInstances","ruleInstance","40.0","dbe0b58f-849b-4aa0-9e2d-079297a15a15",,"0",,"73",
"6aff6544-dbdf-4ac6-b45d-6dd3297e0c74","e28e81a1-5161-439c-b7d5-84f1b2fbce62","/terms/detectionRules/ruleInstances","ruleInstance","50.0","789b8cad-956b-46be-97b6-d81aab57ac2b",,,,"73",
"eec8551d-8371-436b-bd01-4e27805ff98e","f62ac4d4-bcbf-4cf6-b15f-23d1fd1e22c0","/terms/validationRules/ruleInstances","ruleInstance",,"3babc4dc-3f07-4432-b90d-b45c61555c56",,"0",,"73",
"97cbf884-d927-431c-a716-732007e89989","2c229226-7715-403b-953f-1d4cdb085ba2","/terms/validationRules/ruleInstances","ruleInstance",,"4d97f9e6-7ec4-4d1d-a61e-789b0debe539",,"0",,"73",
"f5b94cd9-dbd4-47ab-aae1-e53fd3278d79","704aba9d-4046-4b86-9cee-439c577c266e","/terms/validationRules/ruleInstances","ruleInstance",,"9e1ede82-9fe0-495c-bd8d-c1f875be5651",,"0",,"73",
"db4fd476-c32a-45fa-97cc-cbaa473fefb5","a4da466f-6198-4324-b6d5-bbf7f423bcf6","/terms/validationRules/ruleInstances","ruleInstance",,"5ca308f8-5a48-42d4-9371-7e9654543409",,"0",,"73",
"6bcbd55b-db41-45fc-abd7-d4d16f14ff6e","0e5574f1-d4c7-4381-92e0-f8e0278cb95e","/monitoringProjects/configuration/items/dqChecks","dqCheck",,"5ca308f8-5a48-42d4-9371-7e9654543409",,,,"541",
"ea62b476-e290-4d8a-841b-b30908f6c749","0e5574f1-d4c7-4381-92e0-f8e0278cb95e","/monitoringProjects/configuration/items/dqChecks","dqCheck",,"4d97f9e6-7ec4-4d1d-a61e-789b0debe539",,,,"541",
"fb3f387b-82b3-45f6-9c16-104c7c4bde16","0e5574f1-d4c7-4381-92e0-f8e0278cb95e","/monitoringProjects/configuration/items/dqChecks","dqCheck",,"3babc4dc-3f07-4432-b90d-b45c61555c56",,,,"541",
"14294e82-692b-43f7-a08b-ed832b2bb109","0e5574f1-d4c7-4381-92e0-f8e0278cb95e","/monitoringProjects/configuration/items/dqChecks","dqCheck",,"9e1ede82-9fe0-495c-bd8d-c1f875be5651",,,,"541",
