"id_i","parent_id_i","path_i","type_i","enabled_s","from_h","to_h"
"88ea8d48-28b6-4d58-b69c-214c360e9d74","54e84575-9343-44ec-8821-32691e1af453","/terms/standardizationRules","termStandardizationRules","true","73",
"b629c096-07d9-43fd-bcf0-824c270caae6","5f126947-b8da-4fcf-9acd-352efea42c87","/terms/standardizationRules","termStandardizationRules","true","73",
"f99233cc-64b9-41f1-b18e-678884b0e49c","6778bf91-e758-4864-8c94-1de82d51c14a","/terms/standardizationRules","termStandardizationRules","true","73",
"a17f3a48-af2f-4f91-a733-728bd000a9ab","842a85c8-ed02-4383-b0c4-9dc08bb9cbcd","/terms/standardizationRules","termStandardizationRules","true","73",
"dd507753-8734-4d2e-bdcb-23c7d6438619","74ae33d7-87f1-49ee-98d9-193780452d8d","/terms/standardizationRules","termStandardizationRules","true","73",
"cce4081d-19d8-43ea-a04b-47fa61e82925","8495a8d2-65b7-487d-acad-61b901324b58","/terms/standardizationRules","termStandardizationRules","true","73",
"2b79ca90-0b88-4928-bb29-40d516da2557","878b4887-af3d-4b23-bf83-f080a745746a","/terms/standardizationRules","termStandardizationRules","true","73",
"4bac93ef-d703-436b-b173-63998a90ee06","884925e8-5f6d-4940-a9fc-7e2e5efa7f93","/terms/standardizationRules","termStandardizationRules","true","73",
"d5a733ca-3702-4549-afef-31347d444189","884b81a2-8d9d-4812-9a7b-ba03cdfcc388","/terms/standardizationRules","termStandardizationRules","true","73",
"d5528613-67a7-4b63-9844-6f8a5cf5a945","8da5589f-9fcd-4755-a71c-1404e5523f72","/terms/standardizationRules","termStandardizationRules","true","73",
"6eac0a7f-5dfd-4f1a-a016-128b32d7fe05","8e0a584d-0420-407c-955b-19d93a3c5cac","/terms/standardizationRules","termStandardizationRules","true","73",
"f59fd920-c4cf-4347-b55f-d5a21793fc56","8ec29dd2-db95-4e6d-8759-5cedeb7db5ca","/terms/standardizationRules","termStandardizationRules","true","73",
"33a073c7-34af-433a-8e2c-62d4cc2b298e","97d8f000-0a76-43a3-a7b9-9ccd4af9d426","/terms/standardizationRules","termStandardizationRules","true","73",
"c90a324f-e96d-4208-ac0e-cb2da90290a7","9cdcca86-c941-44f5-bdd5-ac268baf8a9c","/terms/standardizationRules","termStandardizationRules","true","73",
"7c2a30fe-4e99-4a5a-9326-7d013c94faa9","9f1bbac4-b8fb-48d6-9d0d-5b26ca45a7ce","/terms/standardizationRules","termStandardizationRules","true","73",
"1c4c97d8-2b90-4a3e-bbbd-7e659f437f65","a1792c4d-5294-405a-9dca-f96015d0036d","/terms/standardizationRules","termStandardizationRules","true","73",
"4e79e502-885f-4595-a8a9-b91f1acb9663","a286cb1a-21da-44c1-9b37-4cd1df08daf8","/terms/standardizationRules","termStandardizationRules","true","73",
"d481aab2-10e1-4e81-b7bc-7e3380fb6ab9","aa085595-af6f-40f3-9150-c6a5178c22de","/terms/standardizationRules","termStandardizationRules","true","73",
"ff1cc34f-79b7-4892-9d0e-f144f1f08d02","ab81af36-7a35-4694-8bf5-74c229e80958","/terms/standardizationRules","termStandardizationRules","true","73",
"cbd7c48b-92a4-4f33-b900-47665481ad43","af63efd3-0303-4bae-93f9-68937858ed34","/terms/standardizationRules","termStandardizationRules","true","73",
"4c687188-4761-468e-a742-55549aa90fb4","b1eb14b9-b165-4a82-90fb-f27b34f1cbfd","/terms/standardizationRules","termStandardizationRules","true","73",
"8e7c689a-aa3b-4cc0-bf34-d1798b2dcb07","bd977e53-0013-44b3-8054-490ace4d49e0","/terms/standardizationRules","termStandardizationRules","true","73",
"9a75f804-6a88-4f2c-a608-c60d23840f32","ccdf69a0-b6ce-4b9b-9fad-f12d849add7c","/terms/standardizationRules","termStandardizationRules","true","73",
"96f79cf5-eae1-4194-b7cd-211f44ea328e","d73cb7ed-3f38-4301-8e03-1610aa8e04fa","/terms/standardizationRules","termStandardizationRules","true","73",
"5506c998-a6d6-4c7a-ab87-349c7cb0a01b","d8f24ad3-2aca-4886-953d-a1777d51ac7c","/terms/standardizationRules","termStandardizationRules","true","73",
"e64d47fd-3964-4d27-a404-ff8db95c7a8b","d93099f8-6de4-450c-87f1-8eef1c2b8df5","/terms/standardizationRules","termStandardizationRules","true","73",
"299763c4-85e7-4629-9128-b6a734ec3db7","d9bf1993-3868-481f-87bd-eb754cf2e68f","/terms/standardizationRules","termStandardizationRules","true","73",
"de85c766-67c6-44aa-ba37-62f72cab9683","e2cd2cad-b808-4c7b-8feb-7787e4da1567","/terms/standardizationRules","termStandardizationRules","true","73",
"64a71860-1c72-45e6-b344-ae1f6df3fad5","f1ef8a66-591c-4817-8b1c-10bf16934693","/terms/standardizationRules","termStandardizationRules","true","73",
"1ef995a1-f1c2-494e-b5d8-ec701cf5500a","faaedce1-65da-4093-a5a9-ffcb1492f958","/terms/standardizationRules","termStandardizationRules","true","73",
"44156ad0-9f47-405a-8ec4-e2c0287e3a93","ffc405d6-458b-4ce1-9227-d3d4c9bc06dc","/terms/standardizationRules","termStandardizationRules","true","73",
"28751403-2019-490b-a24e-97063e077dc9","fa5778f9-f74b-4f06-8749-7883429e56c8","/terms/standardizationRules","termStandardizationRules","true","73",
"078a319f-bcd6-41de-a5f3-1edcbf78a06d","70e87372-1038-423f-8288-1a72e85fba07","/terms/standardizationRules","termStandardizationRules","true","525",
"cb3005e3-fda9-493d-beb3-7c98f0dcd319","ad5964dc-3566-4211-a098-1aa9aa637112","/terms/standardizationRules","termStandardizationRules","true","525",
"53ada604-4710-47d9-825a-bd937809dbd3","91583703-fb1a-4b3d-a8ad-864028485c31","/terms/standardizationRules","termStandardizationRules","true","525",
